date,gross_return,transaction_cost,strategy_return,benchmark_return,excess_return,turnover
2020-05-31,-0.008468258117169121,0.0001819047619047619,-0.008650162879073883,0.024016044102999522,-0.032666206982073405,0.1819047619047619
2020-06-30,0.009767974745762423,0.0003295238095238096,0.009438450936238614,0.026958864782604963,-0.01752041384636635,0.3295238095238096
2020-07-31,0.03098928060994684,0.00020666666666666674,0.030782613943280173,0.05556005718869709,-0.024777443245416916,0.20666666666666672
2020-08-31,0.0016267366826374437,7.857142857142854e-05,0.0015481652540660152,0.01706556968465276,-0.015517404430586745,0.07857142857142854
2020-09-30,0.0027317549064637173,0.0003785714285714286,0.0023531834778922887,-0.015018057323354842,0.01737124080124713,0.37857142857142856
2020-10-31,0.004082696866385181,0.0,0.004082696866385181,0.00162000182262459,0.0024626950437605906,0.0
2020-11-30,-0.0006453771873023493,0.0001576190476190476,-0.0008029962349213969,0.015549773089127663,-0.01635276932404906,0.1576190476190476
2020-12-31,-0.0007098223443443183,0.0,-0.0007098223443443183,0.03990363022748582,-0.04061345257183013,0.0
2021-01-31,0.0003707566209845844,0.0,0.0003707566209845844,-0.0007043365096297709,0.0010750931306143553,0.0
2021-02-28,0.0011878524251301805,0.0,0.0011878524251301805,-0.013573507000510566,0.014761359425640747,0.0
2021-03-31,-0.00012291583307202269,0.0,-0.00012291583307202269,-0.010168645498043442,0.01004572966497142,0.0
2021-04-30,-0.003793642354530069,0.00021190476190476195,-0.004005547116434831,0.027826379189423357,-0.03183192630585819,0.21190476190476193
2021-05-31,-0.005187063577326261,0.0,-0.005187063577326261,0.04120240577774428,-0.046389469355070545,0.0
2021-06-30,0.0009341283771997627,0.00021190476190476195,0.0007222236152950008,-0.027297061733217106,0.028019285348512106,0.21190476190476193
2021-07-31,-0.003403635936822618,0.0005533333333333335,-0.003956969270155952,0.007865141676700148,-0.0118221109468561,0.5533333333333335
2021-08-31,0.0013227745873327767,0.00035333333333333343,0.0009694412539994433,0.0016617109280960324,-0.0006922696740965891,0.3533333333333334
